Item	Question	Answer
toad	is the animal capable of jumping?	other animals, larger animals, social animals
toad	is it taller than humans on average?	captivity, terrestrial habitats, humans, breeding sites, habitat, habitat loss, activity, day activity patterns, dormancy, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	does it live in groups?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it commonly kept as a pet?	captivity, terrestrial habitats, pets, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, pet trade, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	does it migrate long distances?	captivity, terrestrial habitats, short distances, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it known for its intelligence?	captivity, terrestrial habitats, breeding sites, high intelligence, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it an endangered species?	toad species, captivity, terrestrial habitats, species secrete toxins, certain toad species, other frog species, breeding sites, habitat, habitat loss, activity, day activity patterns, species, solitary hunters, certain species, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it a nocturnal animal?	captivity, other animals, terrestrial habitats, larger animals, social animals, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	does it hibernate?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	does it have sharp teeth?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, sharp teeth, sharp claws, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	does it have sharp claws?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, sharp teeth, sharp claws, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it a feline?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, felines, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it an amphibian?	captivity, amphibians, terrestrial habitats, amphibian enthusiasts, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	is it a reptile?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, reptiles, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	what is its most distinguishable feature?	distinguishable feature, feature is skin
toad	does x have cold or warm blood?	colder periods
toad	does x hunt in a group?	solitary hunters
toad	how does x communicate with others of its kind?	other small invertebrates, other animals, variety, other frog species, others, other sensory cues
toad	does x have scales?	scales, found scales
toad	is the animal aquatic?	other animals, larger animals, social animals
toad	is this an arctic animal?	other animals, larger animals, social animals, arctic regions
toad	is this animal exploited by humans?	other animals, larger animals, humans, social animals, dormancy, distinguishable feature, feature is skin
toad	does the animal live in cities?	other animals, larger animals, social animals
toad	does this animal fly?	other animals, larger animals, social animals
toad	how fast is it?	captivity, terrestrial habitats, breeding sites, habitat, habitat loss, activity, day activity patterns, solitary hunters, suitable habitats, specific habitat, habitat needs, limited adaptability
toad	what are its dimensions?	
toad	does the animal have moist or scaly skin?	other animals, rough warty skin, larger animals, social animals, feature is skin, skin, rough lacking skin
toad	can the animal echolocate?	other animals, larger animals, social animals
toad	can the animal metamorphose?	other animals, larger animals, social animals
toad	can the animal be typically found in a circus?	other animals, larger animals, social animals, circuses
salamander	is it a carnivore or herbivore?	feeding carnivores, captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a vertebrate or invertebrate?	small invertebrates, vertebrates, captivity, aquatic habitats, invertebrates insects, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	has it ever been domesticated?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a mammal?	captivity, mammals, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it have fur?	captivity, fur, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	in which environments does it live?	captivity, environments, aquatic habitats, moist environments, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, lives, temperate environments, natural habitats, specific habitat needs, limited adaptability
salamander	what does it eat?	feeding carnivores, captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, distinguishable feature, feature is skin, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	how many legs does it have if any?	captivity, aquatic habitats, legs, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, short legs, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it produce eggs?	captivity, aquatic habitats, eggs, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a prey or a predator?	feeding carnivores, captivity, aquatic habitats, prey, predators, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it have wings legs or fins?	captivity, aquatic habitats, legs, wings, fins, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, short legs, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	in what continents does it predominantly live?	captivity, aquatic habitats, continent, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, lives, natural habitats, specific habitat needs, limited adaptability
salamander	is it considered dangerous to humans?	salamanders, salamander, salamander species, captivity, aquatic habitats, higher diversity, general salamanders, humans, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, dormancy, solitary hunters, breeding activities, natural habitats, salamander speeds, salamander sizes, specific habitat needs, limited adaptability
salamander	is it eaten by humans?	salamanders, feeding carnivores, salamander, salamander species, captivity, aquatic habitats, higher diversity, general salamanders, humans, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, dormancy, distinguishable feature, feature is skin, solitary hunters, breeding activities, natural habitats, salamander speeds, salamander sizes, specific habitat needs, limited adaptability
salamander	is the animal capable of jumping?	other animals, larger animals, jumping, jumping abilities, solitary animals
salamander	is it taller than humans on average?	salamanders, salamander, salamander species, captivity, aquatic habitats, higher diversity, general salamanders, humans, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, dormancy, solitary hunters, breeding activities, natural habitats, salamander speeds, salamander sizes, specific habitat needs, limited adaptability
salamander	does it live in groups?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, lives, natural habitats, specific habitat needs, limited adaptability
salamander	is it commonly kept as a pet?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, pets, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, pet trade, natural habitats, specific habitat needs, limited adaptability
salamander	does it migrate long distances?	captivity, aquatic habitats, higher diversity, jumping abilities, elongated body, solitary animals, short distances, habitat, habitat loss, activity, diurnal activity patterns, long slender body, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it known for its intelligence?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, high intelligence, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, lives, natural habitats, specific habitat needs, limited adaptability
salamander	is it an endangered species?	salamander species, captivity, aquatic habitats, species, higher diversity, certain species, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a nocturnal animal?	captivity, other animals, aquatic habitats, larger animals, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it hibernate?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it have sharp teeth?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, sharp teeth, sharp claws, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	does it have sharp claws?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, sharp teeth, sharp claws, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a feline?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, felines, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it an amphibian?	smaller amphibians, captivity, amphibians, aquatic habitats, higher diversity, jumping abilities, solitary animals, amphibian enthusiasts, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	is it a reptile?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, reptiles, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	what is its most distinguishable feature?	distinguishable feature, feature is skin
salamander	does x have cold or warm blood?	colder periods
salamander	does x hunt in a group?	solitary hunters
salamander	how does x communicate with others of its kind?	other animals, variety, others
salamander	does x have scales?	scales, found scales
salamander	is the animal aquatic?	other animals, aquatic habitats, larger animals, solitary animals, aquatic larvae, aquatic lifestyle
salamander	is this an arctic animal?	other animals, larger animals, solitary animals, arctic regions
salamander	is this animal exploited by humans?	salamanders, salamander, salamander species, other animals, larger animals, general salamanders, humans, solitary animals, dormancy, distinguishable feature, feature is skin, salamander speeds, salamander sizes
salamander	does the animal live in cities?	other animals, larger animals, solitary animals, lives
salamander	does this animal fly?	other animals, larger animals, solitary animals
salamander	how fast is it?	captivity, aquatic habitats, higher diversity, jumping abilities, solitary animals, habitat, habitat loss, activity, diurnal activity patterns, solitary hunters, breeding activities, natural habitats, specific habitat needs, limited adaptability
salamander	what are its dimensions?	
salamander	does the animal have moist or scaly skin?	other animals, moist skin, moist forests grasslands, moist environments, larger animals, skin, solitary animals, feature is skin, smooth moist skin, adequate moisture, moist lacking skin
salamander	can the animal echolocate?	other animals, larger animals, solitary animals
salamander	can the animal metamorphose?	other animals, larger animals, solitary animals
salamander	can the animal be typically found in a circus?	other animals, larger animals, solitary animals, circuses
eagle	is it a carnivore or herbivore?	feeding carnivores, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it a vertebrate or invertebrate?	vertebrates, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	has it ever been domesticated?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it a mammal?	mammals, birds mammals, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it have fur?	fur, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	in which environments does it live?	environments, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, urban environments, natural habitats, cities
eagle	what does it eat?	feeding carnivores, feathers, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, distinguishable features, solitary hunters, covering feathers, exploitation, illegal activities, natural habitats, cities
eagle	how many legs does it have if any?	legs, many cultures, mobility, solitary birds, many countries, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it produce eggs?	eggs, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it a prey or a predator?	feeding carnivores, apex predators, prey, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it have wings legs or fins?	legs, wings, fins, mobility, wingspan, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, impressive wingspan, solitary hunters, exploitation, illegal activities, natural habitats, cities, ranging wingspan
eagle	in what continents does it predominantly live?	continent, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it considered dangerous to humans?	humans, many cultures, mobility, solitary birds, many countries, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it eaten by humans?	feeding carnivores, humans, feathers, many cultures, mobility, solitary birds, many countries, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, distinguishable features, solitary hunters, covering feathers, exploitation, illegal activities, natural habitats, cities
eagle	is the animal capable of jumping?	other animals, warmblooded capable birds, capable species
eagle	is it taller than humans on average?	humans, many cultures, mobility, solitary birds, many countries, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, diurnal meaning, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it live in groups?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it commonly kept as a pet?	mobility, solitary birds, pets, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it migrate long distances?	mobility, solitary birds, long distances, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities, flight space
eagle	is it known for its intelligence?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it an endangered species?	various adapted species, mobility, solitary birds, species, eagle species, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities, capable species
eagle	is it a nocturnal animal?	other animals, mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it hibernate?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it have sharp teeth?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, sharp talons, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	does it have sharp claws?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, hooked beak, sharp talons, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it a feline?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, felines, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it an amphibian?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, amphibians, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	is it a reptile?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, reptiles, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	what is its most distinguishable feature?	distinguishable features
eagle	does x have cold or warm blood?	warmblooded capable birds
eagle	does x hunt in a group?	hunting, impressive hunting skills, solitary hunters, cooperative hunting, hunt
eagle	how does x communicate with others of its kind?	other animals, variety, other humanrelated factors
eagle	does x have scales?	scales
eagle	is the animal aquatic?	other animals, aquatic birds
eagle	is this an arctic animal?	other animals, arctic regions
eagle	is this animal exploited by humans?	other animals, humans, feathers, many cultures, many countries, other humanrelated factors, distinguishable features, covering feathers, exploitation, conservation efforts
eagle	does the animal live in cities?	other animals, cities
eagle	does this animal fly?	other animals
eagle	how fast is it?	mobility, solitary birds, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, natural habitats, cities
eagle	what are its dimensions?	
eagle	does the animal have moist or scaly skin?	other animals, moist skin
eagle	can the animal echolocate?	other animals
eagle	can the animal metamorphose?	other animals
eagle	can the animal be typically found in a circus?	other animals, circuses
hawk	is it a carnivore or herbivore?	feeding carnivores, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it a vertebrate or invertebrate?	vertebrates, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	has it ever been domesticated?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it a mammal?	mammals, birds mammals, mammals reptiles, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it have fur?	fur, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	in which environments does it live?	environments, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, urban environments, cities, suitable prey, captivity
hawk	what does it eat?	feeding carnivores, feathers, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, distinguishable features, solitary hunters, covering feathers, exploitation, illegal activities, cities, suitable prey, captivity
hawk	how many legs does it have if any?	legs, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it produce eggs?	eggs, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it a prey or a predator?	feeding carnivores, apex predators, prey, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it have wings legs or fins?	legs, wings, fins, mobility, wingspan, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, powerful wings, solitary hunters, exploitation, illegal activities, cities, suitable prey, ranging wingspan, captivity
hawk	in what continents does it predominantly live?	continent, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it considered dangerous to humans?	humans, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it eaten by humans?	feeding carnivores, humans, feathers, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, distinguishable features, solitary hunters, covering feathers, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is the animal capable of jumping?	other animals, warmblooded capable birds, capable species
hawk	is it taller than humans on average?	humans, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, diurnal meaning, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it live in groups?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it commonly kept as a pet?	mobility, solitary birds, pets, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it migrate long distances?	mobility, solitary birds, special permits, long distances, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, flight space, captivity
hawk	is it known for its intelligence?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it an endangered species?	various adapted species, mobility, solitary birds, species, special permits, hawk species, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, capable species, captivity
hawk	is it a nocturnal animal?	other animals, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it hibernate?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it have sharp teeth?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, sharp teeth, sharp talons, sharp beaks, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	does it have sharp claws?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, sharp teeth, hooked beak, sharp talons, sharp beaks, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it a feline?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, felines, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it an amphibian?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, amphibians, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	is it a reptile?	mammals reptiles, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, reptiles, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	what is its most distinguishable feature?	distinguishable features
hawk	does x have cold or warm blood?	warmblooded capable birds
hawk	does x hunt in a group?	hunting, impressive hunting skills, solitary hunters, cooperative hunting
hawk	how does x communicate with others of its kind?	other animals, variety, other humanrelated factors
hawk	does x have scales?	scales
hawk	is the animal aquatic?	other animals, aquatic birds
hawk	is this an arctic animal?	other animals, arctic regions
hawk	is this animal exploited by humans?	other animals, humans, feathers, many cultures, other humanrelated factors, distinguishable features, covering feathers, exploitation, conservation efforts
hawk	does the animal live in cities?	other animals, cities
hawk	does this animal fly?	other animals
hawk	how fast is it?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, exploitation, illegal activities, cities, suitable prey, captivity
hawk	what are its dimensions?	
hawk	does the animal have moist or scaly skin?	other animals, moist skin
hawk	can the animal echolocate?	other animals
hawk	can the animal metamorphose?	other animals
hawk	can the animal be typically found in a circus?	other animals, circuses
falcon	is it a carnivore or herbivore?	feeding carnivores, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it a vertebrate or invertebrate?	vertebrates, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	has it ever been domesticated?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it a mammal?	mammals, small mammals, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it have fur?	fur, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	in which environments does it live?	environments, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, urban environments, cities, suitable prey, captivity
falcon	what does it eat?	feeding carnivores, feathers, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, distinguishable features, solitary hunters, covering feathers, illegal activities, cities, suitable prey, captivity
falcon	how many legs does it have if any?	legs, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it produce eggs?	eggs, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it a prey or a predator?	feeding carnivores, apex predators, prey, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it have wings legs or fins?	legs, wings, fins, mobility, wingspan, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, ranging wingspan, captivity
falcon	in what continents does it predominantly live?	continent, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it considered dangerous to humans?	humans, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it eaten by humans?	feeding carnivores, humans, feathers, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, distinguishable features, solitary hunters, covering feathers, illegal activities, cities, suitable prey, captivity
falcon	is the animal capable of jumping?	other animals, open landscapes grasslands, warmblooded capable birds, capable species
falcon	is it taller than humans on average?	humans, many cultures, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, other humanrelated factors, diurnal meaning, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it live in groups?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it commonly kept as a pet?	mobility, solitary birds, pets, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it migrate long distances?	mobility, solitary birds, special permits, long distances, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, flight space, captivity
falcon	is it known for its intelligence?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it an endangered species?	various adapted species, mobility, solitary birds, species, special permits, falcon species, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, capable species, captivity
falcon	is it a nocturnal animal?	other animals, mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it hibernate?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it have sharp teeth?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, sharp teeth, sharp talons, sharp beaks, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	does it have sharp claws?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, sharp teeth, hooked beak, sharp talons, sharp beaks, solitary hunters, illegal activities, cities, suitable prey, captivity
falcon	is it a feline?	mobility, solitary birds, special permits, suitable habitats, problemsolving abilities, habitat, habitat loss, felines, solitary hunters, illegal activities, cities, suitable prey, captivity
